CD-RE,Polarity
lelaki wanita budak lelaki sangka belon,0
,0
,0
,0
,0
pushpin operasi benteng tugas nasional ntf,0
kuala rompin 7 april 2021 y bahagian profesor dato salina binti daud timbalan naib canselor uniten kshas berb,0
rancangan2 tv lain-lain amp artis2 pakai pelindung muka amp p,0
kes baharu covid 19 tinggi kes sembuh iaitu 3 142 kes berbanding 1 822 kes perak berbanding mencatatkan 69,-1
tuan ir haji cheremi bin haji tarman timbalan dipertua mps hari membuat lawatan pemantauan sop,0
,0
,0
pkpd 2 sungai chalit amp 5 penempatan sungai raub pahang berkuatkuasa 29 april 12,0
lelaki wanita budak lelaki sangka belon,0
salam nuzul quran rakan keluarga muslim semoga dilengkapi ilmu pengetahuan diberkati,1
ya kadang tersangat ego berpolitik 24jam mahu orang betul salahlain,-1
pushpin operasi benteng tugas nasional ntf pushpin banci 2020 3 bahasa,0
,0
,0
salam nuzul al quran 1442 h ikhlas ydp tydp ahli majlis pengarah jabatan warga perb,1
program rasa bubur lambuk komuniti diadakan 28 April 2021 bertempat pangsapuri taman s,0
tanda silang,0
menurut tinjauan baru sumber dipercayai penyelidikan diterbitkan januari bmj tidak ada bukti kuat untuk su,-1
,0
,0
2100hrs aliran trafik bergerak lancar lokasi jsahms cuaca hujan sila patuhi mempunyai laju ditetapk,1
,0
burung bayan hinggap dahan mencari makan malam 17 ramadan diturunkan al quran petunjuk sekalia,0
info makmur johor faktor risiko kes covid 19 negeri johor 28 April 2021,-1
14 hari eid,0
,0
pushpin kempen puturantaian covid 19 pushpin operasi benteng tugas nasional ntf,0
28 april pembebasan datuk addy kana pdrm kaji isu siasatan teknikal sahih,0
status task force terkini pematuhan pdrm sumber kenyataan media menteri kanan pert,0
soalan rentas negeri guna kad menteri jawapannya tak semestinya menteri sahaja s,0
,0
lelaki wanita budak lelaki sangka belon,0
28 april kes positif kembali tembusi angka 3 000 sahih berita rtm,-1
,0
,0
pemakluman harga runcit produk petroleum bermula 29 April 5 mei 2021 ron95 rm2 05 ron97 rm2 58 diesel rm2 1,0
ulang tahun gembira untuk mengucapkan terima kasih atas kata kata bergerak tindakan berani,1
pkpd maahad tahfiz al azhari mtaz machang kelantan atkuasa berku29 april 12 mei 2021 sahih berit,0
dimanakah azman farid bantu situasi bajet ya,0
pkpd institut aminuddin amp kuarters kakitangan sri layang bentong pahang ditamatkan 28 april 2021 yan,1
,0
,0
Trend membimbangkan menjadi india,-1
pkpd kampung bangkahulu gemas negeri sembilan berkuatkuasa 29 april 12 mei 2021 sahih berita rtm,-1
28 april majlis khatam al quran amp rewang iftar bes 1442h 2021m sahih berita rtm,0
info makmur johor taburan data kes covid 19 negeri johor kemaskini 28 april 2021,0
,0
,0
,0
,0
baru terus meningkat tidak turun bawah 1000 25 tidak meneruskannya o,-1
kerajaan mmg menguji kesabaran rakyat malaysia benar tidak ada harapan tersisa untuk ta,-1
nak guys harap risau muka,0
tak sayang sayang kena sosial jauh 1m,1
slogan untuk geng depa jaga jaga nasi masing2 pergi mampus marhaen,-1
keistimewaan bulan ramadan al quran diturunkan faedah manfaat untuk kehidupan salam,0
1901hrs aliran trafik bergerak lancar lokasi jsahms sila patuhi laju ditetapkan teruska,1
mercy malaysia mengucapkan salam nuzul al quran umat islam malaysia mari menghay,1
polis sepatutnya lindungi warga negara bunuh warga negara bergantung,-1
penumbuk terangkat,0
India malaysia 7 populasi kajian menunjukkan 55 orang India malaysia meninggal dunia,-1
maaf rasa kes rm 50k diviralkan nak tutup benda2 eh,-1
,0
mengatakan hak ganapathy wan diaspora malaysia India malaysia india berurusan pihak berkuasa India,-1
,0
tidak layak mendapat tidak bersalah bersalah tidak layak mendapat berlaku,-1
,0
,0
lowkey merasa kes ganapathy kurang pendedahan muncul,-1
,0
cepat menilai cepat untuk menghukum berada talian menjengkelkan tingkah laku kelihatan,0
zalim sungguh,-1
tindak balas luar untuk bercakap mengenai kedudukan orang India malaysia peo,0
,0
tidak menekankan jantung merah cc cukup,-1
mengecewakan,-1
,0
tolak rang undang undang ipcmc anak lelaki ayah orang perlu mati,-1
oh tunggu,0
Saya dipilih pegawai polis malay mencari cara,-1
polis perlu henti salah guna kuasa,-1
yall senyap mengenainya,0
,0
keadilan untuk ganapathy,1
,0
ada pautan jelaskan berlaku,0
Rang undang undang ipcmc perlu diluluskan dilaksanakan kes kekejaman polis menyedihkan gabenor,-1
orang mati tahanan polis rang undang undang ipcmc dilaksanakan sepenuhnya amp dikuatkuasakan undang undang,-1
memerlukan perhatian,0
,0
,0
Saya mendengar pengalaman didiskriminasi sekolah umum sakit menuntut keadilan untuk ga,-1
,0
oh tuhan dahsyat,-1
,0
,0
a malaysian tamil man ganapathy spent over twelve days in police custody he was beaten by the police with a rubbe,-1
,0
Saya tahu polis malaysia,0
memilukan keadilan mengatasi wajah termenung,-1
kekejaman polis perkauman menjadi mohon keadilan ganapathy ahli keluarga,-1
Saya merasa berat memikirkan keluarga kehilangan ayah lelaki,-1
,0
,0
nada kulit sederhana penumbuk,0
kekejaman polis wujud perkauman malaysia mengambil langkah untuk buruk mesti memperjuangkan keadilan,-1
,0
,0
keras,0
tahu omong kosong mahukan untuk peduli pergerakan mendapat daya tarikan matt,-1
,0
righr kekejaman polis bulan suci acab ramadhan negara tidak berwajah neutral i h,-1
masa 24 jam menemui fiverr,0
tw kekejaman polis tw kematian tw darah tw memukul,-1
tidak pergi facebook dipenuhi teori konspirasi rasis memuntahkan assholes,-1
,0
malaysia india memerlukan keadilan bersatu sertai brickfields datang hari sabtu 7 malam,-1
,0
,0
tidak percaya polis kerajaan percayai,-1
malaysia sebenar tahu mengenai bangsa orang,1
,0
permainan baru muat turun hori hai mengatasinya aap hmara channel styleytgamer sila lihat indeks backhand menunjuk bawah indeks backhand menunjuk bawah indeks backhand menunjuk bawah,0
,0
,0
dear malaysia nak ikut jejak amerika serius berlaku malaysia sila stop bein langkah,-1
mempunyai perhatian malaysia mendapat perhatian dunia tahu malaysia i,-1
lupakan bangsa agama memperjuangkan perkara benar benar penting,-1
,0
f kers rasis,-1
,0
rajput payal kecantikan panas,1
nada kulit gelap sederhana penumbuk menaikkan nada kulit gelap penumbuk menaikkan warna kulit gelap penumbuk,0
,0
tahu tidak ada perogol merogol anak perempuan saudara perempuan tidak mati tahanan polis,-1
,0
sesiapa sahaja saluran berita membuat liputan isu,0
,0
tidak terlibat gangsterisme tidak ada kaitan gangsterisme berjuang untuk ju,0
,0
malaysia perlu menyokong mengira latar belakang agama kepercayaan,1
masa sesuai untuk bangkitkan keadilan membunuh kekejaman polis negara,-1
,0
,0
,0
,0
muka pensif muka termenung,0
,0
,0
,0
animasi logo suai untuk memerlukan kerja berkaitan grafik dm tertib,0
,0
raja pemuda mikrofon menjinakkan eswaran navin gounder oh ya sibuk menyerang non mic ngo maaf untuk bertanya ya,0
malaysian berkumpul memperjuangkan keadilan,1
,0
,0
,0
Saya mengkritik fella isu percaya ahli politik tidak mahu membincangkannya,-1
diorang faham kecewa semangat i gila belajar untuk upsr hari2 belajar keras pagi skolah petang klas tm,-1
dibuli rakan sekelas tahun 5 2014 ayah meninggal tahun berikutnya,-1
kpm pikirla pasal pt3 upsr smue bnde nak enjoy petik pasal result dhla,-1
upsr 2a 2b 1c spm diakhiri 8a 1b bermula,1
ulangan upsr,0
upsr kenangan 1996,-1
upsr tahun 2009 tahu tak 5a tak jangka rasanya mmg tak perjuangan masa r,1
upsr hilang idea buruk kerajaan baru menghadapi bulan,-1
upsr 2011 5a time cikgu tak percaya percaya dikenali ratu tidur kelas pensive face,0
sedihnya upsr kena mansuh,-1
upsr mansuh pt3 batal spm stpm tunda,-1
percubaan hasil comeback upsr upsr 2006 wajah 2a 2b 1c mulut,1
alhamdulillah time upsr laa berlagak pandai hahah,1
upsr dimansuhkan ingat hasil upsr tahun 1999 2a 2b 1c,-1
alhamdulillah muka straight a s upsr 2015,1
upsr tinggal kenangan batch pts sekejap kenangan tak lupa,-1
sedih upsr dimansuhkan batch upsr untuk subjek untuk perghhh,-1
done merasa kena banding result upsr result teruk sepupu rolling on the floor laughing rolling on the floor laugh membe bangang makaku cik,-1
1988 2020 upsr kenangan al fatihah,-1
zaman ada upsr,0
4a 1b sains benci sains last2 belajar kejuruteraan kimia bioproses bergulir lantai ketawa kenangan upsr,-1
upsr 2014 2a 2b 1c batch tersakiti repeat paper upsr smiling face with heart eyes thumbs up,-1
upsr dimansuhkan sia2 straight a adik2 sedara ngan anak2 buah tak tahu tak zaman depa takde upsr weary face,-1
tidak mendapat hasil baik untuk upsr tidak melakukannya baik sekolah menengah aigoo,1
trial 4a1b haha upsr syukurlah 5a face with tears of joy,1
wow stress psal upsr haha tak pasal exam time skolah rendah study idok r,-1
masa darjah 6 ada member nama baik danial gak kata tiap2 minggu gaduh orang cita2 nak,0
eu nem queria esse velhote eu tava dando pull de zoeira mas agora vou upsr,0
rindu upsr,1
upsr sahaja pandai terakhir,-1
3a 2b 3 kali percubaan skali sahaja 4a1b 5a sbbkn time nak acah2 rebel xnk kne anto prgi boarding,0
2000 upsr kebangsaan sekolah seri paka terengganu 2a 2b 1c hahaha masa ngongoi nangis,-1
bermaksud tidak ada upsr masa,-1
berkat pembetulan ujian sains upsr b,1
upsr 4a pt3 4a spm 1a diploma 2 93 kesimpulannya bengap takpe lanmekasih abi um,-1
upsr zaman bijak masuk sekolah menengah haram belajar hahahahaha,1
upsr last i pandai masuk smk terus keluar,-1
3a 2b 2006 phd jadi rasa upsr tak menentu nak pelajar rasa exam besar,0
kak upsr kak spm pt3,0
jadi ujian tahun 5 nak dedahkan format upsr mansuh tersenyum muka mulut terbuka peluh sejuk,0
kesihm time upsr jadi budak pandai hahahhsjd,-1
7ingat subjek sahaja face with tears of joy gred tak ingt upsr 2012,0
2b 2c 1d nasib baik upsr spm hancurs,-1
upsr mengajar tidak bodoh,1
sekurang kurangnya menyimpan rekod hasil upsr pt3 terbaik sepupu tersenyum muka mulut terbuka menutup mata jempol warna kulit ringan,1
nampak pandai kot jadi baik orang kawan form3 pastu tengah tahun form3 baru nta muka air mata kegembiraan seka,1
upsr 2006 2a 3b 1c s bukit damansara s ok b d,0
darjah 6 crush bf darjah 5 tahu pastu bf upsr,0
top 10 student untuk trial upsr kt daerah masu,1
ah ya upsr tidak dimansuhkan tahun 2016,0
jadi um 07 s batches gen terakhir pelajar upsr 08 s batches gen pertama tidak mengambil wajah badut upsr,0
darjah 3 subjek sains ada soalan tujuan eksperimen jawapan salin balik,0
upsr tidak dihapuskan,0
5a relieved face skang degree nak skor 1a payah sial hilang tah kepandaian masa upsr,-1
tiba-tiba upsr unnesecsdvevsvry test for 12 years old apo,0
5a nail polish light skin tone nail polish light skin tone nail polish light skin tone rasa motivation masa upsr nak duit pibg sahaja hahaha dorang janji 5a,1
rasa ada masalah pelutang nak ceingat belajar time upsr hahahaha,-1
mendapat 5as alhamdulillah upsr kenangan kuat menangis menghadap dua hati,1
3a2b percubaan mase 4a masa upsr kena chicken pox teruk gila tidak belajar ya ok,-1
upsr tahun 2006 hasil 4a 1b b bahasa inggeris susah nak skor bi tak pandai bi,-1
ujian upsr berprestasi hahaha,1
senanya takapa dijawab masa upsr tahu tahu hasil okay grinning face,1
upsr muka tersenyum peluh sejuk mulut terbuka,0
amik upsr masa malaysia jadi tuan rumah komanwel 3a 1b 1c,0
1a 3b 1c matematik tak suka mengira zaman upsr main sahaja 3,-1
jadila 4a masa upsr,0
okay gak babi ada upsr tak budak tengok tiktok main ml main tiktok ada upsr camni zzz,0
upsr peperiksaan tuah pengetua menanti stia 2003,0
upsr tahun 92 3b 1c 1d,0
duduk banding upsr senang teknologi internet kut nak sumber belajar zzzzzz,0
upsr 2009 4a1b tak harap main rolling on the floor laughing masa upsr pmr sahaja rasa masuk spm hancur face with stuck out tongue,-1
pengumuman pemansuhan selepas rakan upsr rakan bergraduasi kursus pendidikan punya beban tanggungja,-1
exam tahun 2009 alhamdulillah 5a upsr masa before2 exam nombor puluh2,1
pasal upsr bising lawak betul,0
upsr sepenuhnya suhkan bermaksud lepasni takde upsr menyedihkan sebilangan kanak kanak mendapat motivasi peperiksaan p,0
upsr 5a upkk 8a tak silap straight a jugak hehe pmr 8a spm 4a jadi bodoh guna kuota,-1
rip upsr,0
tiada istilah belajar 5 tahun untuk peperiksaan 5 hari,0
me mrsm form 1 batch 1995 takde plak exam khas untuk masuk mrsm de,0
takde upsr tak kenangan basikal,0
trial 1a sahaja mmg cikgu takda target straight tetau upsr 5a nerd face,0
hadap upsr psra tak stress hadap dua kohkohkoh,0
kakak mendapatkan switch lite berada upsr oh baiklah,0
sial benar mengambil upsr tahun 2008 jadual padat 7 pagi 2 petang sekolah 2 untuk kelas,0
Sepertinya 3 mengalami upsr satu satunya pt3 kalangan siblin,0
kesian geng upsr tahun tak happy habis last paper pastu tahun bawak mainan datang,-1
2a3c i ingt i nangis hasil padabaru upsr face with tears of joy smiling face with open mouth cold sweat,-1
tak de upsr nak ukur,0
3a 2b masa abah konfiden 5a jadi upsr pakai hp hasil hari hp kene amik balik,0
4a 1b upsr 2004 sk taman tasik b matematik expressionless face zaman sekolah matematik slow sikit masuk u baru ota,0
apesal under trending psal upsr smua ckp psal stress xrsa ape2 face with tears of joy lgpon ada exam bru ada kseda,0
satu perkara rasa tiada upsr budak tak budak bersaing zaman maksudkan bersaing un,0
3a2b menyesal jugak belajar main2 untuk upsr pmr tebus balik,0
merokok bayi upsr pack mati,-1
5 a s upsr sahaja a masuk pmr spm a pergi tapau rolling on the floor laughing,0
trial 3c 2 d upsr 5a mashaallah,0
upsr sepenuhnya suhkan pt3 spm rasa kpm lupa tat mempunyai pelajar duduk f,0
upsr dimansuhkan nak nak nilai pelajar masuk sekolah menengah lepas darjah 6 muka keliru,0
rasa ada upsr murid sekolah rendah anggap ujian mu,0
who study for upsr have fun blaja have fun exam pastu have fun amik result klu perform happy tak perf,1
emco dikuatkuasakan kawasan pahang mulai esok,-1
,0
sorotan menteri pertahanan datuk seri covid 19 kenyataan media emco dikuatkuasakan,-1
malaysia s number of new cases reached over 3 000 after health ministry recorded 3 142 infections tod,-1
berikut harga petrol berkuat kuasa esok 29 April 5 kekal rm 2 05,0
vaksin astrazeneca diberi secara sukarela bermula kuala lumpur konsep selangor cepat d,1
ada reaksi bercampur campur ibu bapa mengenai langkah kerajaan mengenakan penutupan sekolah negara selepas,0
highlights from education minister pc the pt3 examination for 2021 has cancelled start,0
dakwaan kononnya larangan rentas berkuat kuasa 5 hari amp aidilfitri viral,0
haiqal hanafi teruja untuk kembali jalani latihan bawah kendalian poad md kassim,1
6 penuntut matrikulasi perak viral dikompaun rm1 500 tidak pelitup menarik nafa,0
peniaga terlibat sejumlah individu termasuk selebriti menawarkan bantuan untuk membayar,1
kkm nilai kes peniaga burger kelantan dikompaun 50 000 berniaga melebihi ditetap waktu,0
chelsea mencatatkan seri 1 madrid sebenar perlawanan pertama separuh akhir,1
kemas terkini mengenai zon merah malaysia setakat semalam 27 April,0
bermula hari Kamis sabah tidak berada bawah perintah kawalan pergerakan pemulihan,1
berikut rangkuman cepat cerita teratas mulai petang,0
status terkini perintah kawalan pergerakan malaysia,0
Jumlah kes covid 19 dilaporkan 2 733 kes tertinggi direkodkan selangor 750 diikut,-1
pengekalan status pkp pkpb pkpp bekuat 29 april 17 mei sarawak 27 april,0
sabah status pkpp pkpb perlis kedah melaka perak negeri sembilan pahang tereng,0
intipati sidang media menteri keselamatan datuk seri ismail sabri yaakob pelaksanaan pkp semu,0
pelakon lee kwang soo meninggalkan lelaki berlari 11 tahun acara variety show korean selatan popular,-1
neelofa dikompaun rm20 000 suami 20 ahli keluarga terima hukuman,-1
ikut garis panduan kompaun pkp takiyuddin hassan sila,0
Walau pihaknya meningkat 50 peratus tempoh 2 bulan kata khairy lag,-1
pendaftaran program imunisasi covid 19 rendah mencapai sasaran menteri penyela,-1
menteri keselamatan datuk seri ismail sabri yaakob mengumumkan bakal hari kategori pkp perayaa sempena,0
bergantung data ujian klinikal diterima syarikat pfizer antarabangsa,0
kerajaan sedia mempertimbangkan pemberian vaksin covid 19 penerima berusia 18 tahun kumpulan umur ya,0
saingan piala afc melibatkan dipinda afc,0
leicester beat crystal palace 2 1 to move closer to champions league qualification,1
Pendidikan kementerian tidak hukum murid pelajar tidak hadir sekolah kekhuatiran bapa ibu,1
operasi persekolahan sekolah rendah menengah negara ditutup cuti raya aidilfitri b,0
pkpd dikuatkuasakan pembinaan kawasan empangan hidroelektrik baleh kapit sarawak mulai esok 6 mei,0
pkpd pusat komuniti bersepadu pulau serai pekan pahang ditamatkan esok awal dijadualkan,1
pkpd pasar perumahan sim sim kampung sungai obar batu 7 sandakan sabah ditamatkan esok pkpd kam,1
kerajaan sekat keluar masuk india mencegah penuaran varian baru covid 19 neg,0
kenyataan media menteri kanan datuk seri ismail sabri yaakob berhubung pelaksanaan pkp pdrm menah,0
berikut rangkuman cepat cerita teratas mulai petang,0
malaysia melaporkan 2 776 kes baru hari selangor mempunyai kes terbanyak 762 diikuti sarawak 615,-1
anthony hopkins memenangi oscar pelakon terbaik untuk ayah,1
frances mcdormand memenangi pelakon terbaik untuk nomadland,1
nomadland memenangi gambar terbaik,1
berikut keputusan pengarah terbaik 2021 chloe zhao untuk nomadland pelakon penyokong terbaik y,1
Laporan laporan terkini kapal selam ditemui 3 bahagian dasar laut bali 53 kru disahkan meni,-1
pertuan agong raja permaisuri agong berdukacita ucapan takziah indonesia,-1
projek perintis pembelajaran tanggungjawab digital sosial korporat diumumkan belanjawan 2021,0
50 000 murid sekolah bakal menerima peranti pintar akhir bulan bawah inisiatif cerdik sejumlah 100 000 lag,0
kelonggaran untuk pekerja malaysia singapura suntikan vaksin untuk pulang sambut aidil,1
kempen daftar vaksin diperluaskan komuniti kawasan rukun tetangga ramaini,0
perbincangan mengenai perkara dua negara dijangka dilakukan masa terdekat,0
kerajaan meneliti kemungkinan kelonggaran pekerja malaysia singapura untuk pulang sambut a,1
man city beat spurs 1 nil to win the league cup while man united dropped points in the epl title,1
2 kenyataan media menteri kanan keselamatan datuk seri ismail sabri yaakob berhubung pelaksanaan pkp 25 april,0
1 kenyataan media menteri kanan keselamatan datuk seri ismail sabri yaakob berhubung pelaksanaan pkp 25 april,0
2 690 kes baharu dilaporkan hari selangor 25 April mencatat kes tertinggi 7 kes,-1
pengembara asing masuk malaysia perlu jalani sop ketat,0
elavarasan puas raih 1 mata paroi,1
epl newcastle dent liverpool s hopes of a top four finish camera reuters,0
kementerian kesihatan mengalu alukan karantina ketat untuk kedatangan luar negara tengah tengah pengesanan kes involvi,-1
pkpd bandar sri indah kampung titingan tawau sabah dilanjutkan mulai 26 april 9 mei 2021 pkp,-1
kerajaan perkenalkan sop khusus untuk pengembara baru tiba negara melaporkan virus penularan c,-1
kenyataan media menteri kanan datuk seri ismail sabri yaakob berhubung pelaksanaan pkp pdrm menah,0
everton kalahkan arsenal 1 0 aksi liga perdana inggeris awal pagi kemenangan pertama tempat lawan,1
hasrat selangor mencatat kemenangan berturut turut liga tidak super kesampaian diikat sabah 2 ketiga,-1
kedah darul aman pamer kebangkitan memukau untuk menewaskan kota kl 3 2 liga super alor setar malam,1
berikut rangkuman cepat cerita teratas mulai petang,0
2 847 kes baru covid 19 hari dilaporkan tertinggi 748 kes diikuti sarawak 7,-1
mco dipertingkatkan dikuatkuasakan sekolah menengah melarang selangor mulai esok peningkatan 19 kes covid,-1
berikut sorotan menteri kanan datuk seri covid 19 pc perjalanan negeri,0
bimbang kehilangan pemberitahuan vaksinasi dihantar untuk mengingatkan mengenai janji temu,1
fasiliti hospital amp pkrc kelantan penuh,-1
kes harian mencecah 3 000,0
semalam kelantan mencatatkan 662 kes positif covid 19 tertinggi negara,-1
berikutan kes lonjakan kelantan menyebabkan hospital fasiliti pkrc negeri penuh keadaan,-1
Sebuah sekolah berasrama penuh bharu dijadikan pusat kuarantin risiko rendah covid 19 pkrc pusat han,0
skuad harimau malaya tetap bawa pemain tidak divn aksiaksi untuk kelayakan piala dunia 2022 uae,0
bandar leicester epl ditutup kamera penamat empat teratas,1
berikut rangkuman cepat cerita teratas mulai petang,0
kerajaan setuju kenaikan tempoh pegangan pajakan tapak smk convent bukit nanas tamat 6 september,0
,0
sorotan menteri keselamatan kanan datuk seri ismail sabri yaakob s siaran akhbar dipertingkatkan,0
2 875 kes baru dilaporkan hari negeri jumlah jangkitan tertinggi kelantan 662,-1
kerajaan umum bantuan khas kewangan bawah aidilfitri rm500 penjawat awam gred 56 rm250 pesara,1
covid 19 kes meningkat malaysia persatuan doktor kesihatan awam malaysia memberitahu ada,-1
malaysia masuk gelombang untuk pakar,0
semalam kelantan mencatatkan 370 kes baru covid 19 negeri berada ketiga tertinggi kes sem harian,-1
3 jajahan kelantan pkp iaitu jeli kuala krai gua musang bermula hari tamat ser,0
kesatuan olahraga malaysia tetap letak kepercayaan dwayne miller untuk membimbing skuad pecut negara,0
polis perketat kawalan plaza tol amp sempadan negeri,0
pendidikan negeri jabatan jpn pahang meminta ibu bapa tidak menghantar anak bergejala de,0
ujar datuk seri abd jalil hassan langkah bertujuan membendung penularan pandemik covid 19 sekolah pahang,1
sekolah pahang mencetuskan kluster covid 19 dikompaun menurut ketua polis pahang kompaun,-1
man city mengalahkan aston villa untuk mendekati gelaran liga perdana,1
kemas terkini mengenai zon merah malaysia setakat semalam 21 April,0
inter milan atletico madrid bergabung 6 kelab teratas menarik kontroversi,0
kluster pendidikan sektor membimbangkan rangkuman berita petang,-1
emco dikuatkuasakan 3 kawasan perumahan lahad datu sabah mulai esok 5 Mei emco kampung,-1
sorotan menteri keselamatan kanan datuk seri ismail sabri yaakob s siaran akhbar harian 230,0
