Raw,CD-Malaya,CD-RE,Polarity
"Hanafi Zulkapli dipilih sebagai Ketua Pemuda PN
#sinarharian
https://t.co/hZCcmSLMgo",hanafi zulkapli dipilih sebagai ketua ketua pemuda pun <hashtag>sinarharian</hashtag> <url>,hanafi zulkapli dipilih sebagai ketua pemuda pn ,1
Christian Pulisic terlebih dulu meletakkan pelawat di depan pada minit ke-14 sebelum Karim Benzema menyamakan kedud… https://t.co/Pw8izHMF8G,christian pulisic dahulu meletakkan terlebih pelawat di depan pada minit ke - <nombor> sebelum karim benzema menamakan keduda ... <url>,christian pulisic terlebih dulu meletakkan pelawat di depan pada minit ke sebelum karim benzema menyamakan kedud ,0
"Menteri Besar, Datuk Seri Aminuddin Harun berkata, pembayaran akan dibuat pada 3 Mei ini dan ia melibatkan jumlah k… https://t.co/WdNRMKp7xu","Menteri Besar, datuk seri aminuddin harun berkata, bayaran peakan dibuat pada <date> ini dan ia melibatkan jumlah okay... <url>",menteri besar datuk seri aminuddin harun berkata pembayaran akan dibuat pada mei ini dan ia melibatkan jumlah k ,0
"Mayat seorang lelaki ditemui terapung di dalam kolam tadahan Benteng 2 Segambut
#sinarharian 

https://t.co/9SORB68WUH via SinarOnline",mayat lelaki terapung di kolam tadahan benteng <number> segambut <hashtag>sinarharian</hashtag> <url> melalui sinaronline melalui sinaronline,mayat seorang lelaki ditemui terapung di dalam kolam tadahan benteng segambut via sinaronline,-1
Muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan SOP oleh mas… https://t.co/II1Ao5Um7p,muhyiddin gesa agensi pengat kuasa menggunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan <allcaps> cara pengetatandalian piawai</allcaps> mas oleh ... <url>,muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan sop oleh mas ,-1
"Suspek berusia 40 tahun telah ditahan pada jam 12.45 tengah hari. #sinarharian

https://t.co/DL7zViAT1U",suspek <nombor> tahun telah ditahan pada jam <nombor> tengah hari . <hashtag> sinarharian</hashtag> <url>,suspek berusia tahun telah ditahan pada jam tengah hari ,1
Kelonggaran itu diberikan bagi memberi peluang kepada ibu bapa membawa anak-anak mereka mencari persiapan sempena s… https://t.co/6fOwqn6Nqn,kelonggaran itu diberikan bagi memberi peluang kepada ibu bapa bapa membawa anak-anak mereka sempena persiapan mereka s... <url>,kelonggaran itu diberikan bagi memberi peluang kepada ibu bapa membawa anak anak mereka mencari persiapan sempena s ,1
Elemen dana dan sumbangan politik perlu dikawal dengan lebih efektif serta merangkumi perspektif yang lebih meluas.… https://t.co/K1nR2DBLGc,elemen dana dan sumbangan politik perlu dikawal dengan lebih berkesan dan juga merangkumi perspektif yang lebih meluas. .... <url>,elemen dana dan sumbangan politik perlu dikawal dengan lebih efektif serta merangkumi perspektif yang lebih meluas ,1
"Menteri Besar, Muhammad Sanusi Md Nor berkata, jumlah keseluruhan bantuan berkenaan adalah sebanyak RM5.3 juta yang… https://t.co/dwhcXOqCdY","menteri besar, muhammad sanusi md tidak berkata, jumlah berkenaan keseluruhan bantuan <money>juta yang... <url>",menteri besar muhammad sanusi md nor berkata jumlah keseluruhan bantuan berkenaan adalah sebanyak rm juta yang ,1
"Lelaki itu ditahan dalam satu serbuan di kawasan Hentian Rehat dan Rawat Gunung Semanggol, Bagan Serai pada Selasa… https://t.co/NOQOVOn1Sq","lelaki itu ditahan dalam satu serbuan di kawasan hentian rehat dan rawat gunung semanggol, bagan serai pada selasa ... <url>",lelaki itu ditahan dalam satu serbuan di kawasan hentian rehat dan rawat gunung semanggol bagan serai pada selasa ,-1
Modus operandi dikenal pasti iaitu penyeludup merentas negara menaiki bot  dipercayai bergerak dari Thailand menuju… https://t.co/HQRZJpm0kC,modus operandi pasti dikenal pasti iaitu penyeludupan merentas dipercayai dipercayai bot bergerak dari thailand menuju... <url>,modus operandi dikenal pasti iaitu penyeludup merentas negara menaiki bot dipercayai bergerak dari thailand menuju ,-1
Christian Pulisic terlebih dulu meletakkan pelawat di depan pada minit ke-14 sebelum Karim Benzema menyamakan kedud… https://t.co/gxodq7PDac,christian pulisic dahulu meletakkan terlebih pelawat di depan pada minit ke - <nombor> sebelum karim benzema menamakan keduda ... <url>,christian pulisic terlebih dulu meletakkan pelawat di depan pada minit ke sebelum karim benzema menyamakan kedud ,0
"Menteri Besar, Datuk Seri Aminuddin Harun berkata, pembayaran akan dibuat pada 3 Mei ini dan ia melibatkan jumlah k… https://t.co/8YScNBkMa0","Menteri Besar, datuk seri aminuddin harun berkata, bayaran peakan dibuat pada <date> ini dan ia melibatkan jumlah okay... <url>",menteri besar datuk seri aminuddin harun berkata pembayaran akan dibuat pada mei ini dan ia melibatkan jumlah k ,0
"Mayat seorang lelaki ditemui terapung di dalam kolam tadahan Benteng 2 Segambut
#sinarharian 

https://t.co/Lh7m7vcDLB",mayat lelaki terapung di kolam tadahan benteng <number> segambut <hashtag>sinarharian</hashtag> <url>,mayat seorang lelaki ditemui terapung di dalam kolam tadahan benteng segambut ,-1
Muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan SOP oleh mas… https://t.co/FwukY5V1TE,muhyiddin gesa agensi pengat kuasa menggunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan <allcaps> cara pengetatandalian piawai</allcaps> mas oleh ... <url>,muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan sop oleh mas ,1
Siasatan mendalam terhadap kes guru membuat lawak rogol sedang dilakukan dan tindakan tegas akan diambil-… https://t.co/Kh8vQdpxJg,mendalam tentang guru membuat lawak rogol sedang dilakukan dan tindakan tegas akan diambil - ... <url>,siasatan mendalam terhadap kes guru membuat lawak rogol sedang dilakukan dan tindakan tegas akan diambil ,-1
Mahkamah Rayuan diberitahu  Datuk Seri Najib Tun Razak bukan seorang pengarah atau pengarah bayangan di SRC Interna… https://t.co/mbHB3RWUXy,mahkamah rayuan diberitahu datuk seri najib tun razak bukan pengarah atau pengarah seorang di <allcaps>src</allcaps> interna... <url>,mahkamah rayuan diberitahu datuk seri najib tun razak bukan seorang pengarah atau pengarah bayangan di src interna ,-1
Amrin Awaluddin dilantik sebagai Pengarah Urusan Kumpulan dan Ketua Pegawai Eksekutif Tabung Haji bermula pada 6 Me… https://t.co/z0welQ17E8,marin awaluddin dilantik sebagai pengarah urusan kumpulan dan ketua pegawai tabung haji bermula pada <nombor> saya ... <url>,amrin awaluddin dilantik sebagai pengarah urusan kumpulan dan ketua pegawai eksekutif tabung haji bermula pada me ,1
"Mangsa telah berjaya ditemui oleh pasukan penyelamat dalam jarak 300 meter dari tempat kejadian.
#sinarharian… https://t.co/OkuMgfa5Ef",telah berjaya ditemui oleh pasukan penyelamat dalam jarak <number> meter dari kejadian. <hashtag> sinarharian</hashtag> ... <url>,mangsa telah berjaya ditemui oleh pasukan penyelamat dalam jarak meter dari tempat kejadian ,1
"Hakim S Indra Nehru menjatuhkan hukuman itu setelah tertuduh, Zulkifli Othman mengaku bersalah atas pertuduhan ters… https://t.co/GPKzQ6HvFL","hakim s indra nehru menjatuhkan hukuman itu setelah tertuduh, zulkifli othman mengaku bersalah atas pertuduhan ters... <url>",hakim s indra nehru menjatuhkan hukuman itu setelah tertuduh zulkifli othman mengaku bersalah atas pertuduhan ters ,-1
"Menggunakan kepala surat atas nama Istana Negara disyaki palsu
#sinarharian 

https://t.co/VmnCF9MAvv via SinarOnline",kepala surat atas nama istana disyaki negara palsu <hashtag>sinarharian</hashtag> <url> melalui sinaronline,menggunakan kepala surat atas nama istana negara disyaki palsu via sinaronline,-1
Kerajaan perlu mengambil kira keraguan orang ramai terhadap keselamatan dan keberkesanan penggunaan vaksin jenis As… https://t.co/pErnlDU54o,kerajaan perlu mengambil kira keraguan ramai orang terhadap keselamatan dan kesankeberan penggunaan vaksin sebagai ... <url>,kerajaan perlu mengambil kira keraguan orang ramai terhadap keselamatan dan keberkesanan penggunaan vaksin jenis as ,-1
"Hakim Jamaludin Man menetapkan tarikh itu selepas Timbalan Pendakwa Raya, Hakim Amir Abdul Hamid memberitahu, terda… https://t.co/Ao73NgsuTX","hakim jamaluddin menetapkan tarikh itu lelaki timbalan pendakwa raya, hakim amir abdul hamid memberitahu, terdah... <url>",hakim jamaludin man menetapkan tarikh itu selepas timbalan pendakwa raya hakim amir abdul hamid memberitahu terda ,0
"UPSR mansuh sepenuh, PT3 dibatalkan tahun ini
#sinarharian 
https://t.co/UWBkRmtwJ7 via SinarOnline","<allcaps>upsr</allcaps> mansuh sepenuh, pt3 dibatalkan tahun ini <hashtag>sinarharian</hashtag> <url> melalui sinaronline",upsr mansuh sepenuh pt dibatalkan tahun ini via sinaronline,-1
Maritim Malaysia Kelantan telah berhubung dengan pasukan Polis Marin Thailand supaya mereka peka dengan penemuan se… https://t.co/pod3YeEyVq,maritim malaysia kelantan telah berhubung dengan polis marin thailand mereka supaya peka dengan penemuan se ... <url>,maritim malaysia kelantan telah berhubung dengan pasukan polis marin thailand supaya mereka peka dengan penemuan se ,-1
"Perkara itu diumumkan Menteri Kanan (Pendidikan), Datuk Dr Mohd Radzi Md Jidin sebentar tadi. #sinarharian… https://t.co/i3CnInU9Np","itu ialah menteri diumumkan kanan (pendidikan), datuk dr mohd radzi md jidin tadi . <hashtag>sinarharian</hashtag> ... <url>",perkara itu diumumkan menteri kanan pendidikan datuk dr mohd radzi md jidin sebentar tadi ,0
